2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.4/afi-safi/ipv4-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.4/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.4/local-as/as-number 101
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.4/transport/local-address 12.0.0.5
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.12/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.12/description "Connected to ethernet-1/49 on peer leaf2 via intf ethernet-1/2"
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.12/peer-as 102
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.12/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.12/afi-safi/evpn/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.12/afi-safi/ipv4-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.12/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.12/local-as/as-number 101
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.12/transport/local-address 12.0.0.13
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.14/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.14/description "Connected to ethernet-1/49 on peer leaf1 via intf ethernet-1/1"
